index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,playing_0
361,7219.987,1786879983749.420,14771567.355,0.000000000,1.000000000
362,7239.983,1786879983769.416,14771587.351,0.000000000,1.000000000
363,7259.984,1786879983789.416,14771607.351,0.000000000,1.000000000
364,7279.983,1786879983809.415,14771627.350,0.000000000,1.000000000
365,7299.986,1786879983829.418,14771647.353,0.000000000,1.000000000
366,7319.986,1786879983849.419,14771667.354,0.000000000,1.000000000
367,7339.985,1786879983869.417,14771687.352,0.000000000,1.000000000
368,7359.995,1786879983889.427,14771707.362,0.000000000,1.000000000
369,7379.984,1786879983909.416,14771727.351,0.000000000,1.000000000
370,7399.982,1786879983929.415,14771747.350,0.000000000,1.000000000
371,7419.987,1786879983949.419,14771767.354,0.000000000,1.000000000
372,7439.985,1786879983969.417,14771787.352,0.000000000,1.000000000
373,7459.985,1786879983989.417,14771807.352,0.000000000,1.000000000
374,7479.983,1786879984009.416,14771827.351,0.000000000,1.000000000
375,7499.982,1786879984029.414,14771847.349,0.000000000,1.000000000
376,7519.987,1786879984049.420,14771867.355,0.000000000,1.000000000
377,7539.984,1786879984069.417,14771887.351,0.000000000,1.000000000
378,7559.986,1786879984089.418,14771907.353,0.000000000,1.000000000
379,7579.984,1786879984109.417,14771927.352,0.000000000,1.000000000
380,7599.990,1786879984129.422,14771947.357,0.000000000,1.000000000
381,7619.986,1786879984149.419,14771967.354,0.000000000,1.000000000
382,7639.986,1786879984169.419,14771987.354,0.000000000,1.000000000
383,7659.987,1786879984189.419,14772007.354,0.000000000,1.000000000
384,7679.989,1786879984209.421,14772027.356,0.000000000,1.000000000
385,7699.989,1786879984229.421,14772047.357,0.000000000,1.000000000
386,7719.989,1786879984249.421,14772067.356,0.000000000,1.000000000
387,7739.989,1786879984269.422,14772087.357,0.000000000,1.000000000
388,7759.987,1786879984289.419,14772107.354,0.000000000,1.000000000
389,7779.989,1786879984309.422,14772127.357,0.000000000,1.000000000
390,7799.987,1786879984329.419,14772147.354,0.000000000,1.000000000
391,7819.987,1786879984349.419,14772167.354,0.000000000,1.000000000
392,7839.989,1786879984369.421,14772187.356,0.000000000,1.000000000
393,7859.987,1786879984389.419,14772207.354,0.000000000,1.000000000
394,7879.985,1786879984409.418,14772227.353,0.000000000,1.000000000
395,7899.988,1786879984429.421,14772247.356,0.000000000,1.000000000
396,7919.988,1786879984449.420,14772267.355,0.000000000,1.000000000
397,7939.988,1786879984469.420,14772287.355,0.000000000,1.000000000
398,7959.985,1786879984489.418,14772307.353,0.000000000,1.000000000
399,7979.986,1786879984509.419,14772327.354,0.000000000,1.000000000
400,7999.991,1786879984529.423,14772347.358,0.000000000,1.000000000
401,8019.990,1786879984549.423,14772367.358,0.000000000,1.000000000
402,8039.986,1786879984569.418,14772387.353,0.000000000,1.000000000
403,8059.986,1786879984589.418,14772407.353,0.000000000,1.000000000
404,8079.998,1786879984609.430,14772427.365,0.000000000,1.000000000
405,8099.991,1786879984629.424,14772447.359,0.000000000,1.000000000
406,8119.989,1786879984649.421,14772467.356,0.000000000,1.000000000
407,8139.986,1786879984669.418,14772487.353,0.000000000,1.000000000
408,8159.987,1786879984689.419,14772507.355,0.000000000,1.000000000
409,8179.988,1786879984709.420,14772527.355,0.000000000,1.000000000
410,8199.993,1786879984729.426,14772547.361,0.000000000,1.000000000
411,8219.988,1786879984749.421,14772567.356,0.000000000,1.000000000
412,8239.986,1786879984769.419,14772587.354,0.000000000,1.000000000
413,8259.984,1786879984789.416,14772607.351,0.000000000,1.000000000
414,8279.986,1786879984809.418,14772627.353,0.000000000,1.000000000
415,8299.988,1786879984829.420,14772647.355,0.000000000,1.000000000
416,8319.988,1786879984849.421,14772667.356,0.000000000,1.000000000
417,8339.987,1786879984869.419,14772687.354,0.000000000,1.000000000
418,8359.997,1786879984889.429,14772707.364,0.000000000,1.000000000
419,8379.989,1786879984909.421,14772727.356,0.000000000,1.000000000
420,8399.992,1786879984929.425,14772747.360,0.000000000,1.000000000
421,8419.989,1786879984949.421,14772767.356,0.000000000,1.000000000
422,8439.988,1786879984969.420,14772787.355,0.000000000,1.000000000
423,8459.989,1786879984989.421,14772807.357,0.000000000,1.000000000
424,8479.990,1786879985009.422,14772827.357,0.000000000,1.000000000
425,8499.989,1786879985029.421,14772847.357,0.000000000,1.000000000
426,8519.993,1786879985049.426,14772867.361,0.000000000,1.000000000
427,8539.988,1786879985069.421,14772887.356,0.000000000,1.000000000
428,8559.988,1786879985089.420,14772907.355,0.000000000,1.000000000
429,8579.988,1786879985109.420,14772927.355,0.000000000,1.000000000
430,8599.986,1786879985129.419,14772947.354,0.000000000,1.000000000
431,8619.985,1786879985149.417,14772967.352,0.000000000,1.000000000
432,8639.985,1786879985169.418,14772987.353,0.000000000,1.000000000
433,8659.984,1786879985189.416,14773007.351,0.000000000,1.000000000
434,8679.986,1786879985209.418,14773027.353,0.000000000,1.000000000
